,text
178,"Feels like forever, seems like yesterday....Nearly three Decades and Dearly three kids old. Beyond all fairy tales… https://t.co/GIdMbqf78C"
179,"As always @Letterman so  erudite...so eloquent...”You don’t even know, eh, may be you do know, but this is eh, I do… https://t.co/e1X791KBdS"
180,Thanks again @karanjohar for The Dust of Gods jacket. Will never be able to match your Fashionista sense of style..… https://t.co/UAdiEw8pet
181,#ChangeWithin And here is https://t.co/AfAs0uCyfq the short by everybody’s favourite Director...Thank u… https://t.co/S0qxVmV4pZ
182,Thank u @narendramodi for hosting us &amp; having such an open discussion on #ChangeWithin &amp; the role artistes can play… https://t.co/VpC6e4qcK2
183,They say clothes don’t maketh the man...the man maketh the clothes etc...but the truth is whatever makeths the man… https://t.co/AGoWXxboVn
184,"@SGanguly99 Congratulations and all the best for your new and exciting innings at @BCCI  .
Like always I am sure yo… https://t.co/v9Lcjx4Hsu"
185,Keep the love flowing. Keep the positivity multiplying. Keep yourself Happy...always. Everything is as beautiful as… https://t.co/Epxa7uveJD
186,Thank you for your hospitality and warmth. Had a great time and really look forward to some wonderful stories in fi… https://t.co/0UwTXxMPuh
187,"Khan, Damme, Chan at the #JoyForum19. The joys all mine as I got to meet my heroes. 

@JCVD @EyeOfJackieChan… https://t.co/UC9Lb6Xhhc"
188,Wish my friends @Atlee_dir &amp; #ThalapathyVijay &amp; @arrahman all the best for this one. Like a Chake De On steroids!! https://t.co/pzvpQ3Imko
189,Well tried boyz. Teams’been kinda outta sorts this tournament but still some brilliant individual performances. Wel… https://t.co/YtBV2FZ8xI
190,Shooting for @ICICIBank  Been sometime since I went so ‘Gerua’ https://t.co/lXDA3ffAtl
191,The most fun I’ve had being interviewed. Thank u so much @Letterman for being so gracious and all happiness. U r a… https://t.co/QBLQmJY7PK
192,Ok all. Need to go now. @gaurikhan birthday so will pass on all your wishes to her. Lots of love to you all and was… https://t.co/w7P1bVPmNK
193,Awesome https://t.co/SLap0VhEpu
194,Have a good show https://t.co/gYZNc7lyJ7
195,Kyon Birthday pe gift doge? https://t.co/ndjbWvm9p4
196,Have a good life https://t.co/Cou1horo2T
197,Yeah what a drag! https://t.co/QAzjIh6Tli
198,Thank you. Maybe I should do a movie called Doc 5 ! https://t.co/91jpnxE1fw
199,No routine is the routine... https://t.co/8EsmGR9cht
